waveform	[0]		[1]	
t0	01.01.2002  01:03:20,810528		01.01.2002  01:03:20,810530	
delta t	4,000000E-6		4,000000E-6	

time[0]	Y[0]	time[1]	Y[1]
01.01.2002  01:03:20,810528	-4,663353E-1	01.01.2002  01:03:20,810530	-3,766790E-3
01.01.2002  01:03:20,810532	-4,708814E-1	01.01.2002  01:03:20,810534	-5,604556E-3
01.01.2002  01:03:20,810536	-4,706879E-1	01.01.2002  01:03:20,810538	-7,539046E-3
01.01.2002  01:03:20,810540	-4,738476E-1	01.01.2002  01:03:20,810542	-9,376812E-3
01.01.2002  01:03:20,810544	-4,774909E-1	01.01.2002  01:03:20,810546	-1,124682E-2
01.01.2002  01:03:20,810548	-4,780068E-1	01.01.2002  01:03:20,810550	-1,311683E-2
01.01.2002  01:03:20,810552	-4,800058E-1	01.01.2002  01:03:20,810554	-1,501907E-2
01.01.2002  01:03:20,810556	-4,828108E-1	01.01.2002  01:03:20,810558	-1,685684E-2
01.01.2002  01:03:20,810560	-4,812632E-1	01.01.2002  01:03:20,810562	-1,882357E-2
01.01.2002  01:03:20,810564	-4,840037E-1	01.01.2002  01:03:20,810566	-2,069358E-2
01.01.2002  01:03:20,810568	-4,826496E-1	01.01.2002  01:03:20,810570	-2,253134E-2
01.01.2002  01:03:20,810572	-4,828753E-1	01.01.2002  01:03:20,810574	-2,440135E-2
01.01.2002  01:03:20,810576	-4,824561E-1	01.01.2002  01:03:20,810578	-2,623912E-2
01.01.2002  01:03:20,810580	-4,803927E-1	01.01.2002  01:03:20,810582	-2,814136E-2
01.01.2002  01:03:20,810584	-4,808118E-1	01.01.2002  01:03:20,810586	-2,994689E-2
01.01.2002  01:03:20,810588	-4,765559E-1	01.01.2002  01:03:20,810590	-3,165569E-2
01.01.2002  01:03:20,810592	-4,750728E-1	01.01.2002  01:03:20,810594	-3,349345E-2
01.01.2002  01:03:20,810596	-4,755887E-1	01.01.2002  01:03:20,810598	-3,529898E-2
01.01.2002  01:03:20,810600	-4,730416E-1	01.01.2002  01:03:20,810602	-3,707226E-2
01.01.2002  01:03:20,810604	-4,710426E-1	01.01.2002  01:03:20,810606	-3,881330E-2
01.01.2002  01:03:20,810608	-4,669157E-1	01.01.2002  01:03:20,810610	-4,058658E-2
01.01.2002  01:03:20,810612	-4,669479E-1	01.01.2002  01:03:20,810614	-4,232762E-2
01.01.2002  01:03:20,810616	-4,582427E-1	01.01.2002  01:03:20,810618	-4,397194E-2
01.01.2002  01:03:20,810620	-4,543737E-1	01.01.2002  01:03:20,810622	-4,551953E-2
01.01.2002  01:03:20,810624	-4,513108E-1	01.01.2002  01:03:20,810626	-4,732505E-2
01.01.2002  01:03:20,810628	-4,505692E-1	01.01.2002  01:03:20,810630	-4,890488E-2
01.01.2002  01:03:20,810632	-4,430569E-1	01.01.2002  01:03:20,810634	-5,048472E-2
01.01.2002  01:03:20,810636	-4,401552E-1	01.01.2002  01:03:20,810638	-5,209679E-2
01.01.2002  01:03:20,810640	-4,327719E-1	01.01.2002  01:03:20,810642	-5,367662E-2
01.01.2002  01:03:20,810644	-4,272586E-1	01.01.2002  01:03:20,810646	-5,512749E-2
01.01.2002  01:03:20,810648	-4,232606E-1	01.01.2002  01:03:20,810650	-5,657836E-2
01.01.2002  01:03:20,810652	-4,166511E-1	01.01.2002  01:03:20,810654	-5,809371E-2
01.01.2002  01:03:20,810656	-4,099127E-1	01.01.2002  01:03:20,810658	-5,948009E-2
01.01.2002  01:03:20,810660	-4,040447E-1	01.01.2002  01:03:20,810662	-6,089872E-2
01.01.2002  01:03:20,810664	-3,992730E-1	01.01.2002  01:03:20,810666	-6,225286E-2
01.01.2002  01:03:20,810668	-3,890846E-1	01.01.2002  01:03:20,810670	-6,357476E-2
01.01.2002  01:03:20,810672	-3,857638E-1	01.01.2002  01:03:20,810674	-6,486442E-2
01.01.2002  01:03:20,810676	-3,758656E-1	01.01.2002  01:03:20,810678	-6,608960E-2
01.01.2002  01:03:20,810680	-3,680632E-1	01.01.2002  01:03:20,810682	-6,731477E-2
01.01.2002  01:03:20,810684	-3,616471E-1	01.01.2002  01:03:20,810686	-6,857219E-2
01.01.2002  01:03:20,810688	-3,531998E-1	01.01.2002  01:03:20,810690	-6,966840E-2
01.01.2002  01:03:20,810692	-3,446881E-1	01.01.2002  01:03:20,810694	-7,076461E-2
01.01.2002  01:03:20,810696	-3,355960E-1	01.01.2002  01:03:20,810698	-7,186082E-2
01.01.2002  01:03:20,810700	-3,291155E-1	01.01.2002  01:03:20,810702	-7,289255E-2
01.01.2002  01:03:20,810704	-3,200878E-1	01.01.2002  01:03:20,810706	-7,385979E-2
01.01.2002  01:03:20,810708	-3,095771E-1	01.01.2002  01:03:20,810710	-7,485928E-2
01.01.2002  01:03:20,810712	-3,014845E-1	01.01.2002  01:03:20,810714	-7,576204E-2
01.01.2002  01:03:20,810716	-2,921345E-1	01.01.2002  01:03:20,810718	-7,663256E-2
01.01.2002  01:03:20,810720	-2,822686E-1	01.01.2002  01:03:20,810722	-7,747084E-2
01.01.2002  01:03:20,810724	-2,745629E-1	01.01.2002  01:03:20,810726	-7,818015E-2
01.01.2002  01:03:20,810728	-2,619565E-1	01.01.2002  01:03:20,810730	-7,892170E-2
01.01.2002  01:03:20,810732	-2,543475E-1	01.01.2002  01:03:20,810734	-7,963102E-2
01.01.2002  01:03:20,810736	-2,400968E-1	01.01.2002  01:03:20,810738	-8,027585E-2
01.01.2002  01:03:20,810740	-2,318752E-1	01.01.2002  01:03:20,810742	-8,088843E-2
01.01.2002  01:03:20,810744	-2,208486E-1	01.01.2002  01:03:20,810746	-8,140430E-2
01.01.2002  01:03:20,810748	-2,111439E-1	01.01.2002  01:03:20,810750	-8,188792E-2
01.01.2002  01:03:20,810752	-2,004720E-1	01.01.2002  01:03:20,810754	-8,243602E-2
01.01.2002  01:03:20,810756	-1,879946E-1	01.01.2002  01:03:20,810758	-8,285516E-2
01.01.2002  01:03:20,810760	-1,770325E-1	01.01.2002  01:03:20,810762	-8,324206E-2
01.01.2002  01:03:20,810764	-1,645228E-1	01.01.2002  01:03:20,810766	-8,353223E-2
01.01.2002  01:03:20,810768	-1,553340E-1	01.01.2002  01:03:20,810770	-8,379017E-2
01.01.2002  01:03:20,810772	-1,431145E-1	01.01.2002  01:03:20,810774	-8,408034E-2
01.01.2002  01:03:20,810776	-1,332486E-1	01.01.2002  01:03:20,810778	-8,424155E-2
01.01.2002  01:03:20,810780	-1,208679E-1	01.01.2002  01:03:20,810782	-8,437051E-2
01.01.2002  01:03:20,810784	-1,076489E-1	01.01.2002  01:03:20,810786	-8,456396E-2
01.01.2002  01:03:20,810788	-9,765400E-2	01.01.2002  01:03:20,810790	-8,449948E-2
01.01.2002  01:03:20,810792	-8,724000E-2	01.01.2002  01:03:20,810794	-8,459620E-2
01.01.2002  01:03:20,810796	-7,637463E-2	01.01.2002  01:03:20,810798	-8,453172E-2
01.01.2002  01:03:20,810800	-6,238183E-2	01.01.2002  01:03:20,810802	-8,443500E-2
01.01.2002  01:03:20,810804	-5,093610E-2	01.01.2002  01:03:20,810806	-8,427379E-2
01.01.2002  01:03:20,810808	-3,749140E-2	01.01.2002  01:03:20,810810	-8,408034E-2
01.01.2002  01:03:20,810812	-2,772223E-2	01.01.2002  01:03:20,810814	-8,385465E-2
01.01.2002  01:03:20,810816	-1,608304E-2	01.01.2002  01:03:20,810818	-8,349999E-2
01.01.2002  01:03:20,810820	-4,218171E-3	01.01.2002  01:03:20,810822	-8,324206E-2
01.01.2002  01:03:20,810824	8,452743E-3	01.01.2002  01:03:20,810826	-8,282292E-2
01.01.2002  01:03:20,810828	1,989848E-2	01.01.2002  01:03:20,810830	-8,240378E-2
01.01.2002  01:03:20,810832	3,018353E-2	01.01.2002  01:03:20,810834	-8,195240E-2
01.01.2002  01:03:20,810836	4,407963E-2	01.01.2002  01:03:20,810838	-8,140430E-2
01.01.2002  01:03:20,810840	5,449365E-2	01.01.2002  01:03:20,810842	-8,085619E-2
01.01.2002  01:03:20,810844	6,613284E-2	01.01.2002  01:03:20,810846	-8,037257E-2
01.01.2002  01:03:20,810848	7,864257E-2	01.01.2002  01:03:20,810850	-7,956653E-2
01.01.2002  01:03:20,810852	8,963694E-2	01.01.2002  01:03:20,810854	-7,892170E-2
01.01.2002  01:03:20,810856	1,009537E-1	01.01.2002  01:03:20,810858	-7,818015E-2
01.01.2002  01:03:20,810860	1,120126E-1	01.01.2002  01:03:20,810862	-7,740635E-2
01.01.2002  01:03:20,810864	1,241677E-1	01.01.2002  01:03:20,810866	-7,653583E-2
01.01.2002  01:03:20,810868	1,352265E-1	01.01.2002  01:03:20,810870	-7,569756E-2
01.01.2002  01:03:20,810872	1,477041E-1	01.01.2002  01:03:20,810874	-7,479479E-2
01.01.2002  01:03:20,810876	1,566995E-1	01.01.2002  01:03:20,810878	-7,385979E-2
01.01.2002  01:03:20,810880	1,677261E-1	01.01.2002  01:03:20,810882	-7,279582E-2
01.01.2002  01:03:20,810884	1,814933E-1	01.01.2002  01:03:20,810886	-7,179634E-2
