waveform	[0]		[1]	
t0	01.01.2002  01:12:52,372219		01.01.2002  01:12:52,372220	
delta t	2,000000E-6		2,000000E-6	

time[0]	Y[0]	time[1]	Y[1]
01.01.2002  01:12:52,372219	2,010148E-1	01.01.2002  01:12:52,372220	1,958958E-2
01.01.2002  01:12:52,372221	1,895700E-1	01.01.2002  01:12:52,372222	1,989573E-2
01.01.2002  01:12:52,372223	1,760296E-1	01.01.2002  01:12:52,372224	2,016965E-2
01.01.2002  01:12:52,372225	1,631340E-1	01.01.2002  01:12:52,372226	2,050802E-2
01.01.2002  01:12:52,372227	1,494324E-1	01.01.2002  01:12:52,372228	2,078193E-2
01.01.2002  01:12:52,372229	1,354084E-1	01.01.2002  01:12:52,372230	2,103974E-2
01.01.2002  01:12:52,372231	1,212233E-1	01.01.2002  01:12:52,372232	2,118475E-2
01.01.2002  01:12:52,372233	1,078441E-1	01.01.2002  01:12:52,372234	2,134588E-2
01.01.2002  01:12:52,372235	9,430374E-2	01.01.2002  01:12:52,372236	2,152312E-2
01.01.2002  01:12:52,372237	7,866784E-2	01.01.2002  01:12:52,372238	2,161980E-2
01.01.2002  01:12:52,372239	6,625583E-2	01.01.2002  01:12:52,372240	2,170037E-2
01.01.2002  01:12:52,372241	5,174829E-2	01.01.2002  01:12:52,372242	2,178093E-2
01.01.2002  01:12:52,372243	3,820792E-2	01.01.2002  01:12:52,372244	2,176482E-2
01.01.2002  01:12:52,372245	2,321679E-2	01.01.2002  01:12:52,372246	2,174870E-2
01.01.2002  01:12:52,372247	9,192838E-3	01.01.2002  01:12:52,372248	2,174870E-2
01.01.2002  01:12:52,372249	-5,314700E-3	01.01.2002  01:12:52,372250	2,171648E-2
01.01.2002  01:12:52,372251	-1,853268E-2	01.01.2002  01:12:52,372252	2,160369E-2
01.01.2002  01:12:52,372253	-3,191185E-2	01.01.2002  01:12:52,372254	2,147479E-2
01.01.2002  01:12:52,372255	-4,770894E-2	01.01.2002  01:12:52,372256	2,136200E-2
01.01.2002  01:12:52,372257	-6,141051E-2	01.01.2002  01:12:52,372258	2,113642E-2
01.01.2002  01:12:52,372259	-7,511207E-2	01.01.2002  01:12:52,372260	2,091084E-2
01.01.2002  01:12:52,372261	-8,961960E-2	01.01.2002  01:12:52,372262	2,068526E-2
01.01.2002  01:12:52,372263	-1,033212E-1	01.01.2002  01:12:52,372264	2,039523E-2
01.01.2002  01:12:52,372265	-1,191183E-1	01.01.2002  01:12:52,372266	2,016965E-2
01.01.2002  01:12:52,372267	-1,320138E-1	01.01.2002  01:12:52,372268	1,983128E-2
01.01.2002  01:12:52,372269	-1,452318E-1	01.01.2002  01:12:52,372270	1,949291E-2
01.01.2002  01:12:52,372271	-1,594169E-1	01.01.2002  01:12:52,372272	1,915454E-2
01.01.2002  01:12:52,372273	-1,703782E-1	01.01.2002  01:12:52,372274	1,875172E-2
01.01.2002  01:12:52,372275	-1,829514E-1	01.01.2002  01:12:52,372276	1,823611E-2
01.01.2002  01:12:52,372277	-1,989097E-1	01.01.2002  01:12:52,372278	1,781717E-2
01.01.2002  01:12:52,372279	-2,111605E-1	01.01.2002  01:12:52,372280	1,734990E-2
01.01.2002  01:12:52,372281	-2,253456E-1	01.01.2002  01:12:52,372282	1,689874E-2
01.01.2002  01:12:52,372283	-2,366292E-1	01.01.2002  01:12:52,372284	1,633479E-2
01.01.2002  01:12:52,372285	-2,524263E-1	01.01.2002  01:12:52,372286	1,578695E-2
01.01.2002  01:12:52,372287	-2,612920E-1	01.01.2002  01:12:52,372288	1,520689E-2
01.01.2002  01:12:52,372289	-2,740264E-1	01.01.2002  01:12:52,372290	1,461072E-2
01.01.2002  01:12:52,372291	-2,862772E-1	01.01.2002  01:12:52,372292	1,396620E-2
01.01.2002  01:12:52,372293	-2,980444E-1	01.01.2002  01:12:52,372294	1,328947E-2
01.01.2002  01:12:52,372295	-3,049758E-1	01.01.2002  01:12:52,372296	1,267718E-2
01.01.2002  01:12:52,372297	-3,165818E-1	01.01.2002  01:12:52,372298	1,201655E-2
01.01.2002  01:12:52,372299	-3,304446E-1	01.01.2002  01:12:52,372300	1,124314E-2
01.01.2002  01:12:52,372301	-3,407610E-1	01.01.2002  01:12:52,372302	1,055028E-2
01.01.2002  01:12:52,372303	-3,502715E-1	01.01.2002  01:12:52,372304	9,776868E-3
01.01.2002  01:12:52,372305	-3,583313E-1	01.01.2002  01:12:52,372306	9,100129E-3
