waveform	[0]		[1]	
t0	01.01.2002  01:03:00,460364		01.01.2002  01:03:00,460366	
delta t	4,000000E-6		4,000000E-6	

time[0]	Y[0]	time[1]	Y[1]
01.01.2002  01:03:00,460364	-1,409543E-1	01.01.2002  01:03:00,460366	-1,017164E-1
01.01.2002  01:03:00,460368	-1,310884E-1	01.01.2002  01:03:00,460370	-1,017809E-1
01.01.2002  01:03:00,460372	-1,220930E-1	01.01.2002  01:03:00,460374	-1,019421E-1
01.01.2002  01:03:00,460376	-1,130977E-1	01.01.2002  01:03:00,460378	-1,019099E-1
01.01.2002  01:03:00,460380	-1,035219E-1	01.01.2002  01:03:00,460382	-1,019099E-1
01.01.2002  01:03:00,460384	-9,588072E-2	01.01.2002  01:03:00,460386	-1,019099E-1
01.01.2002  01:03:00,460388	-8,653069E-2	01.01.2002  01:03:00,460390	-1,018131E-1
01.01.2002  01:03:00,460392	-7,595549E-2	01.01.2002  01:03:00,460394	-1,016519E-1
01.01.2002  01:03:00,460396	-6,773391E-2	01.01.2002  01:03:00,460398	-1,015552E-1
01.01.2002  01:03:00,460400	-5,770681E-2	01.01.2002  01:03:00,460402	-1,013940E-1
01.01.2002  01:03:00,460404	-4,816333E-2	01.01.2002  01:03:00,460406	-1,011361E-1
01.01.2002  01:03:00,460408	-3,765261E-2	01.01.2002  01:03:00,460410	-1,008781E-1
01.01.2002  01:03:00,460412	-2,904413E-2	01.01.2002  01:03:00,460414	-1,006202E-1
01.01.2002  01:03:00,460416	-1,998427E-2	01.01.2002  01:03:00,460418	-1,002333E-1
01.01.2002  01:03:00,460420	-9,989400E-3	01.01.2002  01:03:00,460422	-9,984642E-2
01.01.2002  01:03:00,460424	1,101678E-3	01.01.2002  01:03:00,460426	-9,949176E-2
01.01.2002  01:03:00,460428	8,291535E-3	01.01.2002  01:03:00,460430	-9,900814E-2
01.01.2002  01:03:00,460432	1,818968E-2	01.01.2002  01:03:00,460434	-9,858900E-2
01.01.2002  01:03:00,460436	2,637903E-2	01.01.2002  01:03:00,460438	-9,797641E-2
